Name,Run,Session,Trial,AngleValue,Rt1,Resp1,Acc,PreviousTrialR,PreviousTrialCoh
1,2,1,1,-0.2,0.504279,0,-1.0,0.0,-100.0
1,2,1,2,0.2,0.451154,0,1.0,-1.0,-0.2
1,2,1,3,1.6,0.35158,0,1.0,1.0,0.2
1,2,1,4,0.2,0.360228,1,-1.0,1.0,1.6
1,2,1,5,1.6,0.345189,0,1.0,-1.0,0.2
1,2,1,6,-0.5,0.338392,1,1.0,1.0,1.6
1,2,1,7,-0.2,0.363956,0,-1.0,1.0,-0.5
1,2,1,8,0.5,0.37289,0,1.0,-1.0,-0.2
1,2,1,9,-0.8,0.340438,1,1.0,1.0,0.5
1,2,1,10,0.5,0.421838,1,-1.0,1.0,-0.8
1,2,1,11,-0.2,0.48405,1,1.0,-1.0,0.5
1,2,1,12,0.5,0.423432,0,1.0,1.0,-0.2
1,2,1,13,-0.2,0.389424,1,1.0,1.0,0.5
1,2,1,14,-0.2,0.420826,1,1.0,1.0,-0.2
1,2,1,15,1.6,0.402999,0,1.0,1.0,-0.2
1,2,1,16,0.5,0.369663,1,-1.0,1.0,1.6
1,2,1,17,-0.2,0.489721,1,1.0,-1.0,0.5
1,2,1,18,-0.8,0.517041,1,1.0,1.0,-0.2
1,2,1,19,0.5,0.415341,0,1.0,1.0,-0.8
1,2,1,20,0.2,0.405826,1,-1.0,1.0,0.5
1,2,1,21,-0.8,0.420358,1,1.0,-1.0,0.2
1,2,1,22,-0.8,0.410484,1,1.0,1.0,-0.8
1,2,1,23,1.6,0.361349,1,-1.0,1.0,-0.8
1,2,1,24,0.2,0.457873,1,-1.0,-1.0,1.6
1,2,1,25,-1.6,0.438814,1,1.0,-1.0,0.2
1,2,1,26,-0.8,0.372218,1,1.0,1.0,-1.6
1,2,1,27,-0.5,0.476346,0,-1.0,1.0,-0.8
1,2,1,28,0.8,0.52043,0,1.0,-1.0,-0.5
1,2,1,29,0.2,0.538413,1,-1.0,1.0,0.8
1,2,1,30,0.2,0.387868,0,1.0,-1.0,0.2
1,2,1,31,0.2,0.667211,0,1.0,1.0,0.2
1,2,1,32,-0.8,0.527385,0,-1.0,1.0,0.2
1,2,1,33,0.8,0.473262,0,1.0,-1.0,-0.8
1,2,1,34,-0.5,0.79719,0,-1.0,1.0,0.8
1,2,1,35,-0.5,0.492732,0,-1.0,-1.0,-0.5
1,2,1,36,0.2,0.728429,0,1.0,-1.0,-0.5
1,2,1,37,0.2,0.394263,0,1.0,1.0,0.2
1,2,1,38,-0.2,0.577589,1,1.0,1.0,0.2
1,2,1,39,0.5,0.481724,0,1.0,1.0,-0.2
1,2,1,40,0.8,0.469677,0,1.0,1.0,0.5
1,2,1,41,0.2,0.521765,0,1.0,1.0,0.8
1,2,1,42,-0.5,0.603645,1,1.0,1.0,0.2
1,2,1,43,-0.5,0.594468,0,-1.0,1.0,-0.5
1,2,1,44,-0.2,0.442027,0,-1.0,-1.0,-0.5
1,2,1,45,-1.6,0.527265,1,1.0,-1.0,-0.2
1,2,1,46,0.8,0.393362,0,1.0,1.0,-1.6
1,2,1,47,0.2,0.472666,0,1.0,1.0,0.8
1,2,1,48,-0.5,0.420874,0,-1.0,1.0,0.2
1,2,1,49,0.2,0.443037,0,1.0,-1.0,-0.5
1,2,1,50,-1.6,0.512127,1,1.0,1.0,0.2
1,2,1,51,0.8,0.435024,0,1.0,1.0,-1.6
